"Image ID","Visual Predictionfilepath","BC Input (Turbo)filepath","BH Input (Viridis)filepath","IoU","F1","Accuracy","TP","TN","FP","FN","Model Name"
"qc_56_60","media/images/e9094c144562e89c03c2.png","media/images/3d17ae57389fe4caa962.png","media/images/e2c073bd98ee66bd2783.png","0.08257323488208786","0.15254991458054615","0.7099304199207918","1711","44815","0","19010","ConvNeXt Satellite"
"qc_58_114","media/images/4c280243ee9df35d69cd.png","media/images/57c7eec3f57a724625ab.png","media/images/8bfa753853cabd8cec13.png","0","0","0.9999999999984741","0","65536","0","0","ConvNeXt Satellite"
"qc_49_119","media/images/77e31cce9a528e24d8dd.png","media/images/b47cb3ba954a0c7484d2.png","media/images/24d930526a995f935fd7.png","0","0","0.9999999999984741","0","65536","0","0","ConvNeXt Satellite"
"qc_25_82","media/images/fa99fef86a8ffea32358.png","media/images/972bc531876bc341f1d3.png","media/images/c95d2d85881eb31517bb.png","0","0","0.9999999999984741","0","65536","0","0","ConvNeXt Satellite"
"qc_20_87","media/images/d3da1bae64886088b275.png","media/images/c09544a4324428e045ef.png","media/images/3d150ccfb67766faca7e.png","0","0","0.9999999999984741","0","65536","0","0","ConvNeXt Satellite"
"qc_86_53","media/images/0c499088cc789b7f5951.png","media/images/ce8efc04a6859a7bd0af.png","media/images/09be214432f027661111.png","0.5026205268803491","0.6689919122514288","0.7813415527331827","14481","36725","4620","9710","ConvNeXt Satellite"
"qc_27_101","media/images/82e1bd5749ef37da9130.png","media/images/6fdcb850c5d2725f1ec4.png","media/images/3e70e3c68eae1b5a394c.png","0","0","0.9999999999984741","0","65536","0","0","ConvNeXt Satellite"
"qc_21_55","media/images/53b6a6f20fceb2f8ebd5.png","media/images/88f88764243a278c1029.png","media/images/1ce14b85d8b506be761a.png","0","0","0.9995117187484749","0","65504","32","0","ConvNeXt Satellite"
"qc_56_51","media/images/94b4c369ba30158d3bb9.png","media/images/a3bad978c257235e5ea2.png","media/images/d16eda93498ac05f5cb7.png","0","0","0.9999999999984741","0","65536","0","0","ConvNeXt Satellite"
"qc_24_83","media/images/381fec60f59927079d3d.png","media/images/3cc8c27afa52b6986994.png","media/images/ee2d5416ca493273dfa5.png","0","0","0.9999999999984741","0","65536","0","0","ConvNeXt Satellite"
"qc_97_69","media/images/50688e7acf5d598be060.png","media/images/4dd4d3488ab6ccd05529.png","media/images/71067a03e552ea07093c.png","0","0","0.9999999999984741","0","65536","0","0","ConvNeXt Satellite"
"qc_40_110","media/images/005bc8a2d1ec13ff70e0.png","media/images/8ae8cbc3faa910f5d153.png","media/images/34ac452716f082eacc94.png","0","0","0.9953308105453562","0","65230","306","0","ConvNeXt Satellite"
"qc_74_57","media/images/b2dab4e0fca7723faf70.png","media/images/b1a5347296d1b4935556.png","media/images/3e550634a2b5d3d6cd06.png","0","0","0.9999999999984741","0","65536","0","0","ConvNeXt Satellite"
"qc_39_108","media/images/8de1028429f34c2c5277.png","media/images/68dda7be6168dd32b00f.png","media/images/ab9b0e7616615ceda428.png","0.8464088139846259","0.9168162126566686","0.8995971679673773","36261","22695","5161","1419","ConvNeXt Satellite"
"qc_49_138","media/images/6a38aa8bc87258606ebe.png","media/images/03f04a4b314f25f3822b.png","media/images/66752f3be772f1413f78.png","0","0","0.9999999999984741","0","65536","0","0","ConvNeXt Satellite"
"qc_27_133","media/images/b692bd40420cf31dc7ca.png","media/images/eaf40aaf827f70f93515.png","media/images/d4ecea08ad7a46fec2d4.png","0","0","0.9999999999984741","0","65536","0","0","ConvNeXt Satellite"
"qc_89_36","media/images/85abc3000983530f26e9.png","media/images/9ab708a4effdbf875b50.png","media/images/0b8ebda459e297fb5ba8.png","0","0","0.9999999999984741","0","65536","0","0","ConvNeXt Satellite"
"qc_80_34","media/images/bf622bcdb953429393ec.png","media/images/9ab708a4effdbf875b50.png","media/images/0b8ebda459e297fb5ba8.png","0","0","0.9999999999984741","0","65536","0","0","ConvNeXt Satellite"
"qc_48_134","media/images/b94504002eea637cd9fe.png","media/images/afdc72916059ffa59210.png","media/images/83288b303c29ac65a6ce.png","0","0","0.9999999999984741","0","65536","0","0","ConvNeXt Satellite"
"qc_66_111","media/images/0e6e077a68e2df9d0441.png","media/images/b509c43a10e9211561f8.png","media/images/da8db197512b87da3a0f.png","0","0","0.9999999999984741","0","65536","0","0","ConvNeXt Satellite"
"qc_28_127","media/images/7c6292dbdd05f6589187.png","media/images/5bbb13a2e299f67f1672.png","media/images/7d72c31d026ccb8462e6.png","0","0","0.9999999999984741","0","65536","0","0","ConvNeXt Satellite"
"qc_23_99","media/images/46b74d1a72d1391035c0.png","media/images/d8f587cc021b650044a6.png","media/images/bb4a47c41d0751e7f355.png","0.0058453237407443655","0.011622707828692541","0.9662628173813381","13","63312","0","2211","ConvNeXt Satellite"
"qc_48_37","media/images/892edb2c70a9c1e075cf.png","media/images/fc3734ff6d24c7884cac.png","media/images/94177c4b7d43336f61ef.png","0","0","0.9999999999984741","0","65536","0","0","ConvNeXt Satellite"
"qc_58_129","media/images/c20d8babf68d4c3cc8ef.png","media/images/af527588cc7bc9464274.png","media/images/e3e46eebaaf79741d6f4.png","0","0","0.9949493408187943","0","65205","331","0","ConvNeXt Satellite"
"qc_52_97","media/images/ed5a2bede3c0fc175464.png","media/images/d5cd1b8f643b03be605a.png","media/images/43c1cd3d8477582268e0.png","0","0","0.9999999999984741","0","65536","0","0","ConvNeXt Satellite"
"qc_51_57","media/images/d772f452ea932d8bf7b3.png","media/images/38f91820d8bd7313904c.png","media/images/8ffed45d8e95b138b3fc.png","0","0","0.806121826170645","0","52830","0","12706","ConvNeXt Satellite"
